证券代码,证券简称,基金成立日
008871.OF,大成睿裕六个月持有A,2020-06-05
008872.OF,大成睿裕六个月持有C,2020-06-05
008923.OF,建信医疗健康行业A,2021-12-28
008924.OF,建信医疗健康行业C,2021-12-28
008934.OF,大成科技消费A,2020-07-16
008935.OF,大成科技消费C,2020-07-16
008958.OF,嘉实回报精选,2020-03-06
009017.OF,银华港股通精选A,2020-04-01
009043.OF,九泰久信量化,2020-05-20
009069.OF,大成睿鑫A,2020-08-11
009070.OF,大成睿鑫C,2020-08-11
009106.OF,嘉合同顺智选A,2020-05-22
009107.OF,嘉合同顺智选C,2020-05-22
009126.OF,嘉实基础产业优选A,2020-04-15
009127.OF,嘉实基础产业优选C,2020-04-15
009147.OF,建信新能源A,2020-06-17
009162.OF,富国医药成长30,2020-04-09
009163.OF,广发医疗保健C,2020-03-18
009240.OF,泰康蓝筹优势,2020-08-14
009265.OF,易方达消费精选,2020-04-13
009341.OF,易方达均衡成长,2020-05-22
009379.OF,中银成长优选A,2021-03-23
009398.OF,华富成长企业精选,2020-06-18
009414.OF,中银大健康A,2020-05-27
009476.OF,建信食品饮料行业A,2020-08-26
009491.OF,宝盈创新驱动A,2020-08-10
009492.OF,宝盈创新驱动C,2020-08-10
009513.OF,创金合信同顺创业板A,2020-06-29
009514.OF,创金合信同顺创业板C,2020-06-29
009537.OF,太平行业优选A,2020-09-01
009538.OF,太平行业优选C,2020-09-01
009550.OF,汇添富开放视野中国优势A,2020-07-22
009551.OF,汇添富开放视野中国优势C,2020-07-22
009557.OF,申万菱信创业板量化精选A,2020-06-29
009601.OF,招商科技动力3个月滚动持有A,2020-09-14
009602.OF,招商科技动力3个月滚动持有C,2020-09-14
009658.OF,汇丰晋信中小盘低波动策略A,2020-08-13
009733.OF,创金合信港股通大消费精选A,2020-08-27
009734.OF,创金合信港股通大消费精选C,2020-08-27
009775.OF,汇丰晋信中小盘低波动策略C,2020-08-13
009794.OF,太平智选一年定开,2020-08-14
009805.OF,国泰医药健康A,2020-08-27
009852.OF,银华品质消费,2020-11-11
009863.OF,富国创新趋势,2020-07-27
009864.OF,招商景气优选A,2020-11-18
009865.OF,招商景气优选C,2020-11-18
009874.OF,九泰久睿量化A,2020-08-14
009875.OF,天弘甄选食品饮料A,2020-08-20
009876.OF,天弘甄选食品饮料C,2020-08-20
009877.OF,中银内核驱动A,2020-08-18
009891.OF,融通产业趋势臻选,2020-08-17
009896.OF,广发港股通成长精选A,2020-09-10
009897.OF,广发港股通成长精选C,2020-09-10
009898.OF,民生加银医药健康A,2020-08-28
009899.OF,上银内需增长A,2020-08-24
009954.OF,北信瑞丰优选成长,2020-09-27
